OID_,STATUS,TYPE,LAT,LON
184,Active,Refined Crude,29.739395620000000,-94.99813938
185,Active,Refined Crude,29.739612839999999,-94.99801454
186,Active,Refined Crude,29.739817920000000,-94.99788333
187,Active,Refined Crude,29.739901549999999,-94.99828376
188,Active,Refined Crude,29.739613370000001,-94.99843192
189,Active,Refined Crude,29.739344930000001,-94.99864088
190,Active,Refined Crude,29.739539839999999,-94.99896852
191,Active,Refined Crude,29.739814660000000,-94.99877299
192,Active,Refined Crude,29.740064799999999,-94.99855106
193,Active,Refined Crude,29.739263789999999,-94.99912304
194,Active,Refined Crude,29.739017570000001,-94.99927638
195,Active,Refined Crude,29.738872210000000,-94.99900838
196,Active,Refined Crude,29.739106100000001,-94.99884183
197,Active,Additives,29.765584270000002,-95.01002291
198,Active,Additives,29.766315609999999,-95.01100042
199,Active,Additives,29.765358259999999,-95.01097625
200,Active,Additives,29.765328589999999,-95.01208411
201,Active,Additives,29.766310199999999,-95.01208266
202,Active,Additives,29.764371359999998,-95.01206405
203,Active,Additives,29.765315800000000,-95.01334125
204,Active,Additives,29.766265629999999,-95.0133533
205,Active,Additives,29.766274240000001,-95.01448629
206,Active,Additives,29.766487150000000,-95.01405501
207,Active,Additives,29.765298200000000,-95.01443409
208,Active,Additives,29.765287059999999,-95.01550635
209,Active,Additives,29.766255730000001,-95.0153699
210,Active,Additives,29.764332629999998,-95.01443498
211,Decommissioned,,29.764341219999999,-95.01327868
212,Active,Crude,29.724893150000000,-95.01464489
213,Active,Crude,29.724419019999999,-95.01540775
214,Active,Crude,29.723989440000000,-95.0162183
215,Decommissioned,,29.723520290000000,-95.01704518
216,Decommissioned,,29.721935510000002,-95.01673262
217,Active,Crude,29.724693479999999,-95.01676002
218,Active,Crude,29.725137730000000,-95.01596548
219,Decommissioned,,29.725624780000000,-95.01520211
220,Decommissioned,,29.726088369999999,-95.01445799
221,Active,Crude,29.726761830000001,-95.01493523
222,Active,Crude,29.726318630000002,-95.01572234
223,Active,Crude,29.725812820000002,-95.0164974
224,Active,Crude,29.727052820000001,-95.01631409
225,Active,Crude,29.726588220000000,-95.01707659
226,Active,Crude,29.726129510000000,-95.0178717
227,Active,Crude,29.726849020000000,-95.01845663
228,Active,Crude,29.725042580000000,-95.01816588
229,Active,Crude,29.727541760000001,-95.01636986
